Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
15000,21,0,1,1,1,0,1,4.6,12990,0,0,0,1,0,0,0,1
15000,24,0,1,1,1,0,0,4.6,16,0,0,1,0,0,0,0,1
15000,26,1,1,1,1,0,1,4.3,66.5,1,1,1,1,0,0,0,1
15000,25,0,1,1,1,0,0,4.1,254,1,0,0,1,1,0,0,1
15000,27,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1
15000,28,0,1,1,1,0,0,4.1,254,1,0,0,0,0,0,0,1
15000,24,1,1,1,1,0,1,4.2,85,0,0,1,1,1,0,0,1
15000,24,0,1,1,1,0,0,4.3,66.5,1,0,1,0,0,0,0,1
15000,29,1,1,1,1,0,0,5,4,0,0,0,1,0,0,0,1
15000,30,1,1,1,1,0,0,4.4,125,0,1,0,1,1,0,0,1
15000,27,1,1,1,1,0,1,4.3,66.5,0,0,0,0,1,0,0,1
15000,24,0,1,1,1,0,0,4.3,66.5,1,1,0,1,1,0,0,1
15000,24,1,1,1,1,0,0,4.6,16,1,1,0,1,1,0,0,1
15000,30,0,1,1,1,0,1,4.3,66.5,0,1,0,0,1,0,0,1
15000,27,0,1,1,1,0,0,4.3,66.5,0,1,1,0,1,0,0,1
15000,22,0,1,1,1,0,0,3.2,10,0,0,0,0,1,0,0,1
15000,29,0,1,1,1,0,0,4,23,1,0,0,1,0,0,0,1
15000,24,0,1,1,1,0,0,4.1,254,1,0,0,1,0,0,0,1
15000,20,1,1,1,1,0,0,4,136,1,0,1,0,1,0,0,1
15000,29,0,1,1,1,0,1,4.3,66.5,1,1,0,1,0,0,0,1
15000,28,0,1,1,1,0,1,4,136,1,1,1,1,0,0,0,1
15000,26,1,1,1,1,0,0,4.5,36355,1,1,0,0,0,0,0,1
15000,29,0,1,1,1,0,1,4.2,301,1,1,0,1,0,0,0,1
15000,28,0,1,1,1,0,0,4.2,85,1,0,0,0,0,0,0,1
15000,21,0,1,1,1,0,1,4,136,1,0,1,1,0,0,0,1
15000,27,1,1,1,1,0,0,4.3,66.5,0,1,1,1,1,0,0,1
15000,25,0,1,1,1,0,0,4.1,254,0,0,1,0,0,0,0,1
15000,26,1,1,1,1,0,0,4.3,86,1,0,1,0,0,0,0,1
15000,25,1,1,1,1,0,0,4.2,85,1,0,0,0,1,0,0,1
15000,23,0,1,1,1,0,0,4.3,192,1,0,0,1,1,0,0,1
15000,24,0,1,1,1,0,0,4.3,66.5,0,1,0,1,0,0,0,1
15000,27,1,1,1,1,0,1,4.3,66.5,1,0,1,0,0,0,0,1
15000,26,0,1,1,1,0,1,4.5,44,0,1,1,0,1,0,0,1
15000,22,0,1,1,1,0,0,4.3,66.5,1,1,1,0,0,0,0,1
15000,26,1,1,1,1,0,1,3.8,31,0,1,0,0,0,0,0,1
15000,29,1,1,1,1,0,1,4.3,66.5,1,0,0,1,0,0,0,1
15000,22,0,1,1,1,0,1,4.3,66.5,0,1,1,1,1,0,0,1
15000,20,0,1,1,1,0,0,4.3,148,1,0,0,0,0,0,0,1
15000,21,1,1,1,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
15500,26,1,1,1,1,0,1,4.2,185,0,1,0,1,1,0,0,1
15500,24,0,1,1,1,0,1,4.2,185,0,0,1,1,1,0,0,1
15500,28,1,1,1,1,0,0,4.3,66.5,1,0,0,1,1,0,0,1
15500,27,1,1,1,1,0,1,4.3,66.5,1,1,1,1,1,0,0,1
15500,28,1,1,1,1,0,0,4.6,54,1,0,1,1,1,0,0,1
15900,22,1,1,1,1,0,1,5,1,1,1,0,0,0,0,0,1
